Plot,BurnTreat,Drought,Exclosure
1,BurnedInvaded,Drought ,N
1,BurnedInvaded,Drought,Y
2,BurnedInvaded,Ambient,N
2,BurnedInvaded,Ambient,Y
3,BurnedInvaded,Drought ,N
3,BurnedInvaded,Drought,Y
4,BurnedInvaded,Ambient,N
4,BurnedInvaded,Ambient,Y
5,BurnedInvaded,Drought ,N
5,BurnedInvaded,Drought,Y
6,BurnedInvaded,Ambient,N
6,BurnedInvaded,Ambient,Y
7,BurnedInvaded,Drought ,N
7,BurnedInvaded,Drought,Y
8,BurnedInvaded,Ambient,N
8,BurnedInvaded,Ambient,Y
9,BurnedInvaded,Drought ,N
9,BurnedInvaded,Drought,Y
10,BurnedInvaded,Ambient,N
10,BurnedInvaded,Ambient,Y
11,BurnedInvaded,Drought ,N
11,BurnedInvaded,Drought,Y
12,BurnedInvaded,Ambient,N
12,BurnedInvaded,Ambient,Y
13,BurnedNative,Drought ,N
13,BurnedNative,Drought,Y
14,BurnedNative,Ambient,N
14,BurnedNative,Ambient,Y
15,BurnedNative,Drought ,N
15,BurnedNative,Drought,Y
16,BurnedNative,Ambient,N
16,BurnedNative,Ambient,Y
17,BurnedNative,Drought ,N
17,BurnedNative,Drought,Y
18,BurnedNative,Ambient,N
18,BurnedNative,Ambient,Y
19,BurnedNative,Drought ,N
19,BurnedNative,Drought,Y
20,BurnedNative,Ambient,N
20,BurnedNative,Ambient,Y
21,BurnedNative,Drought ,N
21,BurnedNative,Drought,Y
22,BurnedNative,Ambient,N
22,BurnedNative,Ambient,Y
23,BurnedNative,Drought ,N
23,BurnedNative,Drought,Y
24,BurnedNative,Ambient,N
24,BurnedNative,Ambient,Y
25,Unburned,Drought ,N
25,Unburned,Drought,Y
26,Unburned,Ambient,N
26,Unburned,Ambient,Y
27,Unburned,Drought ,N
27,Unburned,Drought,Y
28,Unburned,Ambient,N
28,Unburned,Ambient,Y
29,Unburned,Drought ,N
29,Unburned,Drought,Y
30,Unburned,Ambient,N
30,Unburned,Ambient,Y
31,Unburned,Drought ,N
31,Unburned,Drought,Y
32,Unburned,Ambient,N
32,Unburned,Ambient,Y
33,Unburned,Drought ,N
33,Unburned,Drought,Y
34,Unburned,Ambient,N
34,Unburned,Ambient,Y
35,Unburned,Drought ,N
35,Unburned,Drought,Y
36,Unburned,Ambient,N
36,Unburned,Ambient,Y
